campaign_id,campaign_name,product,audience_segment,region,channel,launch_date,end_date,spend_amount,impressions,clicks,conversions,ctr,conversion_rate,revenue_generated,roi,campaign_status,campaign_objective,target_audience_size,actual_reach
CMP10001,Diwali Savings Account Offer,Health Insurance,HNI Customers,Pune,SMS,2023-08-17,2023-09-22,2104301,12625806,583030,45422,4.62,7.79,532209574,251.92,Cancelled,Re-engagement,232599,2359032
CMP10002,Current Account Zero Cost,Current Account,Healthcare Workers,Chennai,Call Center,2024-02-12,2024-03-01,1899189,18991890,2180743,366044,11.48,16.79,1985788700,1044.6,Scheduled,Acquisition,3021337,1447654
CMP10003,Life Insurance Special Offer,NRI Account,HNI Customers,Delhi NCR,SMS,2024-06-25,2024-07-31,4548207,18192828,1420504,347488,7.81,24.46,10357574816,2276.29,Paused,Acquisition,1962791,428630
CMP10004,Ugadi Savings Account Offer,NRI Account,Self-Employed,Kolkata,WhatsApp,2025-02-17,2025-04-24,3110434,15552170,1574142,195250,10.12,12.4,3657032500,1174.73,Scheduled,Upsell,4682033,926132
CMP10005,Forex Card Special Offer,Gold Loan,Existing Loan Customers,Nagpur,SMS,2024-10-26,2024-11-20,319276,4789140,127748,14447,2.67,11.31,325722062,1019.19,Paused,Retention,2078861,2359548
CMP10006,HNI Senior Citizen FD Campaign,Forex Card,SMB Owners,Indore,WhatsApp,2026-01-08,2026-04-01,3643963,43727556,1783789,231678,4.08,12.99,4488297894,1230.71,Completed,Cross-sell,3211254,2504337
CMP10007,Independence Day Health Insurance Offer,Health Insurance,SMB Owners,Nagpur,Call Center,2025-08-16,2025-08-23,4690795,14072385,296910,55242,2.11,18.61,690911694,146.29,Paused,Re-engagement,1508640,2134371
CMP10008,Personal Loan Flash Sale,Credit Card Upgrade,Mass Affluent,Kochi,WhatsApp,2023-08-06,2023-09-21,1718587,8592935,1183531,147684,13.77,12.48,2301950508,1338.44,Active,Acquisition,2030577,2384667
CMP10009,SMB EMI Card Campaign,Senior Citizen FD,Premium Card Holders,Pune,SMS,2023-06-11,2023-08-26,630596,9458940,628069,98318,6.64,15.65,1301828638,2063.44,Active,Brand Awareness,2624865,1678494
CMP10010,Instant Forex Card Promo,Credit Card Upgrade,Salaried Millennials,Bangalore,Push Notification,2025-02-03,2025-05-01,3837340,15349360,1371428,136568,8.93,9.96,1255879328,326.28,Completed,Retention,575394,136755
CMP10011,Forex Card Flash Sale,Credit Card Upgrade,Premium Card Holders,Pune,SMS,2024-11-07,2024-11-26,2046527,14325689,208971,38407,1.46,18.38,731269280,356.32,Completed,Brand Awareness,3625919,1491031
CMP10012,Business Loan Special Offer,NRI Account,Retired Professionals,West India,Push Notification,2025-05-17,2025-07-20,504420,6557460,766177,138441,11.68,18.07,6554904468,12993.93,Active,Cross-sell,1549209,1173303
CMP10013,EMI Card Special Offer,Savings Account,Premium Card Holders,North India,Email,2025-08-05,2025-10-12,3767250,56508750,5786862,1286244,10.24,22.23,52820896104,14020.08,Active,Cross-sell,501869,695538
CMP10014,May Senior Citizen FD Bonanza,Business Loan,Salaried Gen-Z,East India,SMS,2025-02-15,2025-05-02,2274684,34120260,1081655,223930,3.17,20.7,5305797420,2331.54,Completed,Brand Awareness,2640707,244768
CMP10015,Savings Account Special Offer,Senior Citizen FD,Existing Loan Customers,Chennai,Call Center,2023-04-13,2023-07-01,4268214,46950354,1600613,130428,3.41,8.15,4992914268,1168.79,Active,Re-engagement,4997188,171688
CMP10016,Pre-Approved Gold Loan Drive,Forex Card,IT Professionals,Nagpur,Push Notification,2023-06-17,2023-08-03,4791467,52706137,1805579,204525,3.43,11.33,4517752725,941.87,Completed,Acquisition,3854377,2610330
CMP10017,Self-Employed Exclusive Savings Account,Savings Account,Dormant Account Holders,West India,SMS,2026-02-27,2026-04-13,4560004,27360024,1091764,165049,3.99,15.12,2257870320,494.15,Cancelled,Brand Awareness,4447076,37812
CMP10018,Home Loan EMI Special,Fixed Deposit,Healthcare Workers,Pune,WhatsApp,2026-02-09,2026-05-08,1176515,8235605,750504,54851,9.11,7.31,658979914,559.11,Paused,Re-engagement,4108102,1058278
CMP10019,Independence Day Car Loan Offer,Current Account,NRI Customers,Mumbai,SMS,2023-04-15,2023-05-06,2370961,7112883,364898,18503,5.13,5.07,251141219,104.92,Completed,Brand Awareness,1260357,2293371
CMP10020,Chennai Credit Card Push,Forex Card,Mass Affluent,Kochi,WhatsApp,2023-03-15,2023-06-01,4684916,23424580,1387971,188704,5.93,13.6,1460757664,310.8,Scheduled,Re-engagement,1306487,997948
CMP10021,Gold Loan Zero Cost,Current Account,Existing Loan Customers,Delhi NCR,Email,2023-11-29,2024-02-04,257923,1289615,102194,20164,7.92,19.73,539790280,2091.83,Active,Retention,3871303,1471573
CMP10022,Jaipur Health Insurance Push,Gold Loan,NRI Customers,Chandigarh,Email,2024-09-17,2024-09-27,248511,3230643,95778,8488,2.96,8.86,225033856,904.53,Completed,Upsell,1507935,2440169
CMP10023,April Fixed Deposit Bonanza,Fixed Deposit,Salaried Gen-Z,Indore,SMS,2024-06-27,2024-07-04,3695385,29563080,1147754,224625,3.88,19.57,5740741125,1552.49,Cancelled,Re-engagement,1662850,1532655
CMP10024,Current Account Flash Sale,Mutual Fund,NRI Customers,Hyderabad,SMS,2025-06-02,2025-07-03,2683315,34883095,1585359,348149,4.54,21.96,8592665469,3201.26,Scheduled,Brand Awareness,3190501,2845877
CMP10025,Lucknow Education Loan Push,Forex Card,Healthcare Workers,Nagpur,Call Center,2023-12-23,2024-02-24,2574550,23170950,1457159,232544,6.29,15.96,1168766144,452.97,Scheduled,Brand Awareness,1802657,2149019
CMP10026,Instant Gold Loan Promo,Savings Account,Salaried Millennials,Delhi NCR,Email,2025-08-27,2025-10-04,2430572,26736292,2605277,476168,9.74,18.28,21705165944,8929.06,Scheduled,Re-engagement,620927,1915153
CMP10027,Ugadi Fixed Deposit Offer,Education Loan,Low-Balance Customers,Nagpur,Call Center,2025-04-28,2025-05-11,3271044,32710440,1176455,152857,3.6,12.99,2242565047,684.58,Cancelled,Retention,1028029,1919539
CMP10028,Exclusive Current Account Deal,Credit Card Upgrade,High-Value Transactors,Nagpur,Push Notification,2023-10-01,2023-11-10,4738605,56863260,3923258,445131,6.9,11.35,15136234524,3193.24,Active,Brand Awareness,2336256,2191489
CMP10029,Delhi NCR Mutual Fund Push,Health Insurance,Self-Employed,Coimbatore,Email,2025-09-19,2025-10-15,3739918,14959672,1154939,222567,7.72,19.27,4533022089,1211.06,Active,Acquisition,3490164,1714595
CMP10030,January Forex Card Bonanza,NRI Account,IT Professionals,Coimbatore,Call Center,2024-11-08,2025-01-07,3537767,10613301,210963,19275,1.99,9.14,627092850,176.26,Cancelled,Brand Awareness,4591289,2535224
CMP10031,Instant Car Loan Promo,Gold Loan,Salaried Millennials,Coimbatore,Push Notification,2024-03-27,2024-06-17,2339547,21055923,1659042,244092,7.88,14.71,7440900528,3179.49,Cancelled,Brand Awareness,237348,357101
CMP10032,Pre-Approved Mutual Fund Drive,NRI Account,Government Employees,Bangalore,Email,2025-05-27,2025-08-02,1574453,4723359,155422,15857,3.29,10.2,419465221,265.42,Completed,Brand Awareness,4534974,223462
CMP10033,Pre-Approved Prepaid Card Drive,Savings Account,Mass Affluent,East India,Email,2024-12-17,2025-01-20,387709,5815635,126957,7135,2.18,5.62,151297675,389.24,Scheduled,Brand Awareness,2159527,1552258
CMP10034,Life Insurance Special Offer,Prepaid Card,Retired Professionals,Bangalore,Call Center,2023-12-10,2024-03-01,1010771,15161565,1738015,371692,11.46,21.39,9435029728,9333.49,Active,Acquisition,2539858,2874990
CMP10035,Mutual Fund Special Offer,Credit Card,Premium Card Holders,Kochi,Call Center,2023-09-05,2023-12-02,2962556,32588116,3792975,514614,11.64,13.57,15070470990,5085.98,Scheduled,Brand Awareness,1293382,1831565
CMP10036,Limited Period Mutual Fund,Health Insurance,Self-Employed,Nagpur,Call Center,2023-12-27,2024-03-15,4564521,68467815,6838683,1003231,9.99,14.67,33653383895,7371.82,Cancelled,Brand Awareness,3189192,1415949
CMP10037,Instant Prepaid Card Promo,Mutual Fund,Retired Professionals,Bangalore,Push Notification,2023-02-28,2023-04-06,1575383,15753830,740184,68410,4.7,9.24,1500299710,951.34,Scheduled,Cross-sell,4667155,1012991
CMP10038,Life Insurance EMI Special,NRI Account,Low-Balance Customers,Kochi,Push Notification,2025-09-02,2025-11-02,194646,778584,19663,2140,2.53,10.88,67414280,345.34,Cancelled,Upsell,2961200,2952987
CMP10039,Instant EMI Card Promo,Life Insurance,High-Value Transactors,Jaipur,WhatsApp,2025-07-18,2025-10-08,2158926,12953556,1462428,108411,11.29,7.41,1910310231,883.84,Cancelled,Re-engagement,2383965,426637
CMP10040,Salaried Credit Card Campaign,Gold Loan,Students,North India,WhatsApp,2024-02-02,2024-02-22,3077289,15386445,1224465,135246,7.96,11.05,5410516230,1757.21,Completed,Re-engagement,2395211,1973793
CMP10041,Business Loan Special Offer,Mutual Fund,Salaried Gen-Z,Hyderabad,Push Notification,2025-09-07,2025-10-03,1596554,4789662,133219,13387,2.78,10.05,486055196,303.44,Cancelled,Upsell,724549,1045988
CMP10042,Women Exclusive Life Insurance,Current Account,Senior Citizens,Delhi NCR,Call Center,2023-08-31,2023-11-24,1943200,29148000,1952728,301724,6.7,15.45,10416719376,5359.6,Completed,Retention,1780207,1115006
CMP10043,January Prepaid Card Bonanza,Gold Loan,IT Professionals,Lucknow,Email,2023-06-16,2023-08-20,1508053,16588583,308726,20071,1.86,6.5,103867425,67.88,Completed,Brand Awareness,1968100,1114622
CMP10044,HNI Exclusive Home Loan,Current Account,Senior Citizens,East India,Email,2026-04-22,2026-06-04,1012813,11140943,1230836,116882,11.05,9.5,1725645848,1702.81,Scheduled,Acquisition,3941723,2893524
