qa_id,campaign_id,qa_date,tone_consistency,cta_alignment,compliance_status,brand_guidelines_check,disclaimer_present,regulatory_compliance,mismatch_reason,overall_qa_score,channels_reviewed,issues_found,critical_issues,reviewer_notes,approval_status,revision_count,time_to_approve_hours
QA50001,CMP11318,2025-02-11,Pass,Pass,Fail,Pass,False,Warning,Interest rate not compliant,35.0,2,2,2,Needs revision,Rejected,1,70
QA50002,CMP11833,2023-08-29,Warning,Warning,Fail,Fail,True,Warning,CTA differs across channels,18.6,4,2,2,Needs revision,Rejected,0,19
QA50003,CMP19638,2025-04-03,Pass,Pass,Pass,Pass,True,Pass,,78.8,4,0,0,Approved,Approved,0,29
QA50004,CMP17461,2025-01-07,Pass,Pass,Pass,Pass,True,Pass,,94.6,2,0,0,Approved,Approved,0,11
QA50005,CMP12440,2025-11-07,Pass,Pass,Pass,Pass,True,Pass,,88.1,5,0,0,Approved,Approved,2,33
QA50006,CMP13259,2024-05-07,Pass,Pass,Pass,Pass,True,Pass,,88.6,4,0,0,Approved,Approved,2,39
QA50007,CMP17733,2023-06-09,Pass,Pass,Pass,Pass,True,Pass,,62.4,3,0,0,Approved,Approved,1,71
QA50008,CMP16793,2023-11-09,Fail,Fail,Fail,Pass,True,Fail,Product name variation,24.6,3,3,0,Needs revision,Rejected,0,21
QA50009,CMP11858,2025-02-13,Fail,Warning,Warning,Pass,True,Warning,Brand guidelines violation,24.9,4,0,0,Minor fixes required,Conditional,3,9
QA50010,CMP17099,2026-03-09,Pass,Pass,Fail,Pass,True,Fail,CTA differs across channels,30.4,4,1,2,Needs revision,Rejected,0,5
QA50011,CMP16973,2023-02-25,Pass,Pass,Pass,Pass,True,Pass,,95.2,3,0,0,Approved,Approved,0,46
QA50012,CMP19140,2023-06-05,Fail,Fail,Warning,Warning,True,Warning,Expiry date mismatch,13.0,2,0,0,Minor fixes required,Conditional,3,41
QA50013,CMP16297,2025-03-12,Pass,Pass,Pass,Pass,True,Pass,,61.0,5,0,0,Approved,Approved,0,22
QA50014,CMP13811,2023-05-31,Warning,Fail,Warning,Warning,True,Fail,Expiry date mismatch,7.1,3,5,0,Minor fixes required,Conditional,3,19
QA50015,CMP19037,2024-06-23,Pass,Pass,Pass,Pass,True,Pass,,59.9,4,0,0,Approved,Approved,1,33
QA50016,CMP18607,2023-04-29,Warning,Fail,Warning,Fail,True,Fail,Interest rate not compliant,9.5,3,5,0,Minor fixes required,Conditional,1,17
QA50017,CMP17434,2023-09-26,Pass,Pass,Pass,Pass,True,Pass,,99.1,3,0,0,Approved,Approved,3,25
QA50018,CMP18469,2024-10-11,Pass,Pass,Pass,Pass,False,Warning,,37.9,2,0,0,Approved,Conditional,2,2
QA50019,CMP17161,2023-02-20,Pass,Pass,Pass,Pass,True,Pass,,80.4,3,0,0,Approved,Approved,1,47
QA50020,CMP19249,2024-04-24,Pass,Pass,Pass,Pass,True,Pass,,94.8,2,0,0,Approved,Approved,1,22
QA50021,CMP12310,2024-10-15,Pass,Pass,Pass,Pass,True,Pass,,53.8,4,0,0,Approved,Approved,1,4
QA50022,CMP12939,2023-04-23,Pass,Pass,Pass,Pass,True,Warning,,37.9,2,0,0,Approved,Conditional,0,23
QA50023,CMP16650,2023-06-07,Pass,Pass,Pass,Pass,True,Pass,,86.7,5,0,0,Approved,Approved,0,45
QA50024,CMP11733,2025-04-19,Pass,Pass,Pass,Pass,True,Pass,,59.5,4,0,0,Approved,Approved,3,70
QA50025,CMP12028,2023-02-15,Pass,Pass,Warning,Pass,True,Fail,Product name variation,33.9,3,3,0,Minor fixes required,Conditional,2,22
QA50026,CMP19437,2026-02-04,Pass,Pass,Pass,Pass,True,Pass,,56.4,2,0,0,Approved,Approved,1,28
QA50027,CMP11556,2025-04-05,Warning,Pass,Warning,Pass,True,Fail,Contact information different,28.3,5,3,0,Minor fixes required,Conditional,3,9
QA50028,CMP11619,2025-07-17,Pass,Pass,Pass,Pass,True,Pass,,50.6,2,0,0,Approved,Approved,1,32
QA50029,CMP10219,2024-09-15,Warning,Fail,Warning,Warning,True,Fail,Offer amount inconsistent,9.2,3,1,0,Minor fixes required,Conditional,3,43
QA50030,CMP15810,2025-03-09,Pass,Pass,Pass,Pass,True,Pass,,40.3,3,0,0,Approved,Conditional,3,19
QA50031,CMP19959,2025-05-18,Fail,Warning,Fail,Warning,True,Warning,Terms and conditions unclear,14.0,4,4,1,Needs revision,Rejected,0,42
QA50032,CMP12059,2024-08-06,Pass,Pass,Pass,Pass,True,Pass,,99.5,4,0,0,Approved,Approved,3,40
QA50033,CMP19641,2024-09-02,Pass,Pass,Pass,Pass,True,Pass,,86.5,3,0,0,Approved,Approved,0,24
QA50034,CMP16410,2025-03-20,Pass,Pass,Pass,Pass,True,Pass,,85.9,5,0,0,Approved,Approved,1,35
QA50035,CMP18157,2023-10-26,Fail,Fail,Warning,Fail,True,Fail,Product name variation,6.8,3,3,0,Minor fixes required,Conditional,2,71
QA50036,CMP19153,2023-11-08,Pass,Pass,Warning,Pass,True,Fail,Product name variation,34.9,5,2,0,Minor fixes required,Conditional,3,65
QA50037,CMP16643,2024-10-02,Warning,Fail,Fail,Warning,False,Warning,Brand guidelines violation,5.3,4,0,0,Needs revision,Rejected,1,40
QA50038,CMP10195,2023-12-17,Pass,Pass,Pass,Pass,True,Pass,,65.6,5,0,0,Approved,Approved,1,2
QA50039,CMP13033,2023-02-11,Pass,Pass,Pass,Pass,True,Pass,,63.2,5,0,0,Approved,Approved,3,40
QA50040,CMP18996,2023-11-29,Warning,Fail,Fail,Warning,True,Warning,Regulatory language missing,19.0,2,4,2,Needs revision,Rejected,0,26
QA50041,CMP14903,2024-09-25,Pass,Pass,Pass,Pass,True,Pass,,50.5,2,0,0,Approved,Approved,0,54
QA50042,CMP13387,2024-08-04,Pass,Pass,Pass,Pass,True,Pass,,93.8,5,0,0,Approved,Approved,0,30
QA50043,CMP19881,2023-12-14,Pass,Pass,Pass,Pass,True,Pass,,44.5,4,0,0,Approved,Conditional,1,55
QA50044,CMP13866,2024-01-07,Pass,Pass,Pass,Pass,True,Pass,,86.0,4,0,0,Approved,Approved,0,15
QA50045,CMP18121,2023-01-22,Pass,Pass,Pass,Pass,True,Pass,,55.9,2,0,0,Approved,Approved,0,15
QA50046,CMP17888,2024-04-06,Pass,Pass,Pass,Pass,True,Pass,,66.9,4,0,0,Approved,Approved,0,27
QA50047,CMP19156,2023-10-27,Pass,Pass,Pass,Pass,True,Pass,,51.5,4,0,0,Approved,Approved,0,23
QA50048,CMP12187,2025-11-02,Pass,Pass,Pass,Pass,True,Pass,,63.3,3,0,0,Approved,Approved,0,5
QA50049,CMP19425,2024-04-09,Warning,Warning,Fail,Pass,True,Warning,Brand guidelines violation,20.4,3,2,1,Needs revision,Rejected,3,60
QA50050,CMP17926,2023-05-22,Pass,Pass,Pass,Pass,True,Pass,,76.8,3,0,0,Approved,Approved,1,45
