metric_id,campaign_id,measurement_date,impressions,unique_impressions,clicks,unique_clicks,conversions,conversion_value,acquisition_cost,cost_per_click,cost_per_conversion,revenue_generated,profit,roi_score,roas,customer_acquisition_cost,lifetime_value_generated,attribution_model,benchmark_roi,performance_vs_benchmark
ROI40001,CMP10448,2025-12-11,2286373,1723654,236265,178843,35101,671938443,358667,1.52,10.22,1569576316,1569217649,437513.81,4376.14,10.22,14392849141,Position Based,4.01,Above
ROI40002,CMP13382,2023-09-14,39330489,32898323,3273716,2902191,229192,4991114184,4632810,1.42,20.21,3923537848,3918905038,84590.24,846.9,20.21,49497221088,Position Based,4.54,Below
ROI40003,CMP11479,2024-02-19,7617287,5435508,835231,790169,183914,5107291780,1409381,1.69,7.66,5837982102,5836572721,414123.13,4142.23,7.66,52326107796,Linear,3.84,At
ROI40004,CMP12150,2024-06-26,2704564,2173572,386179,360099,62313,2493392382,728332,1.89,11.69,929211456,928483124,127480.75,1275.81,11.69,8242888266,First Click,3.98,At
ROI40005,CMP14720,2024-12-25,8673793,6914872,999274,938897,217857,9297483189,2237063,2.24,10.27,4987618158,4985381095,222853.85,2229.54,10.27,83660355855,Time Decay,2.64,Below
ROI40006,CMP17174,2024-03-17,62588515,44018995,7462566,6870935,1390230,7592046030,4083342,0.55,2.94,11943465930,11939382588,292392.42,2924.92,2.94,622627017570,Position Based,4.14,Above
ROI40007,CMP16001,2026-01-09,33228765,27688682,2729741,1965094,566996,17195287692,2987448,1.09,5.27,6555607752,6552620304,219338.39,2194.38,5.27,224403975892,Time Decay,3.78,Above
ROI40008,CMP11423,2024-03-31,10728746,9059573,223269,183202,21842,451692560,3843147,17.21,175.95,413949584,410106437,10671.11,107.71,175.95,8704430156,Linear,1.8,At
ROI40009,CMP19344,2024-10-25,15202494,9669349,1147889,864013,100874,2610719994,3554473,3.1,35.24,3652344918,3648790445,102653.49,1027.53,35.24,44410686366,Time Decay,4.95,At
ROI40010,CMP12497,2025-12-25,52326951,38932398,4042235,3211586,221882,2795047554,3818472,0.94,17.21,4236171144,4232352672,110838.91,1109.39,17.21,105859902200,Time Decay,4.46,At
ROI40011,CMP15074,2025-06-01,10932026,6917584,275600,254848,33739,685407785,2874752,10.43,85.21,1546730716,1543855964,53703.97,538.04,85.21,10398595973,Position Based,2.54,Below
ROI40012,CMP11596,2025-05-25,43353596,38904859,3369199,2975026,685014,25366753434,3177804,0.94,4.64,5089654020,5086476216,160062.62,1601.63,4.64,253303791906,Position Based,3.65,Below
ROI40013,CMP19249,2023-12-23,26386433,15939573,935875,655995,99263,4451052183,1860255,1.99,18.74,1382535064,1380674809,74219.65,743.2,18.74,45620282170,Linear,2.01,Below
ROI40014,CMP11368,2025-09-13,40346622,27255511,3643201,2834309,579100,26829123900,4850816,1.33,8.38,27575583800,27570732984,568373.09,5684.73,8.38,154440758100,Time Decay,2.43,Above
ROI40015,CMP17136,2025-03-21,68763350,55042370,5960802,4788570,338086,3093486900,4954512,0.83,14.65,8850077222,8845122710,178526.62,1786.27,14.65,49857204334,Last Click,2.54,Above
ROI40016,CMP17498,2024-10-03,3572270,2816303,379885,276483,81606,2290517208,280217,0.74,3.43,3653337408,3653057191,1303652.95,13037.53,3.43,6588052380,First Click,4.63,At
ROI40017,CMP10972,2023-05-02,44716248,27240233,6077593,5750540,929062,15529271330,3172180,0.52,3.41,15887889262,15884717082,500750.81,5008.51,3.41,126274390792,Position Based,1.99,At
ROI40018,CMP16639,2025-06-02,7765159,4711465,206404,173915,51154,816315532,1230278,5.96,24.05,1047429304,1046199026,85037.61,851.38,24.05,16089569928,Time Decay,2.91,Above
ROI40019,CMP15034,2025-09-26,8085597,7258548,647487,510380,121580,2305035220,1036826,1.6,8.53,3616761840,3615725014,348730.16,3488.3,8.53,18667757940,Time Decay,2.12,Above
ROI40020,CMP17931,2024-06-11,46858282,29543430,5116303,3628176,344154,9196139034,4591987,0.9,13.34,10254756738,10250164751,223218.51,2233.19,13.34,146944121688,First Click,2.52,Above
ROI40021,CMP10211,2024-06-23,4129418,3314122,280631,224634,61865,2051072210,1515504,5.4,24.5,1769772055,1768256551,116677.79,1167.78,24.5,19587572570,First Click,2.5,Above
ROI40022,CMP11046,2025-05-28,5532960,4241795,419879,347741,57041,2285461747,376466,0.9,6.6,1009511618,1009135152,268054.79,2681.55,6.6,11812848854,First Click,2.16,Above
ROI40023,CMP16877,2024-05-24,18588165,14147597,535656,420013,51388,433714720,4469621,8.34,86.98,289674156,285204535,6380.96,64.81,86.98,13950351748,First Click,3.17,Above
ROI40024,CMP16101,2023-02-08,27578688,17918425,1412189,1056295,207576,9198315288,3878479,2.75,18.68,9474183792,9470305313,244175.75,2442.76,18.68,58814168688,Last Click,4.7,Above
ROI40025,CMP18288,2025-07-21,19446906,13154225,429277,312448,49801,2167887331,2172883,5.06,43.63,2221523008,2219350125,102138.5,1022.39,43.63,19242060579,Time Decay,4.55,Above
